ERPBANKLEDGERNAME,PARTY NAME,Date (Value Date),Narration ,Ref/Cheque No.,Debit,Credit
Bank Overdraft BOB 03240400000456,Pridee Non Woven Private Limited,15/09/2026,BARBR52026091500885130,BARBR52026091500885130,916440,
Bank Overdraft BOB 03240400000456,Rajesh Enterprise,15/09/2026,ICICR42026091500551400,ICICR42026091500551400,,752594
