"BomOnly","Official","MatchType"
"FLEXICONT.HU","Flexicont","contains"
"GELPAC DISTRIBUTION GLOBAL SOLUTION","GELPAC DISTRIBUTION","contains"
"GHCL LIMINATED","GHCL","contains"
"GHCL LIMITED","GHCL","contains"
"Big Bag","GIL Big Bag","contains"
"Gleco","Gleco A/S","contains"
"GLOBAL PAK INC","GLOBAL PAK","contains"
"Global Pak, Inc","GLOBAL PAK","contains"
"GLobal Polychem LLC","Global Polychem LLC.","contains"
"Global","Global traffic","contains"
"BIBAGMATINI","GMA","contains"
"Sigmasupply .com(Sunbelt)","GMA","contains"
"GOKUL AGRI INTERNATIONAL LTD (Sidd)hpur Unit","Gokul","contains"
"Gokul Agro Resources Ltd","Gokul","contains"
"Gokul Agro Resources Ltd.","Gokul","contains"
"GOKUL OVERSEAS","Gokul","contains"
"Gokul Overses Sez","Gokul","contains"
"Greif America","GREIF","contains"
"GREIF AUSTRALIA","GREIF","contains"
"GREIF CHILE SA","GREIF","contains"
"Greif Embalajes Industriales Spa Chille","GREIF","contains"
"GREIF FLEXIBLE FRANCE","GREIF","contains"
"GREIF FLEXIBLE FRANCE SARL","GREIF","contains"
"GREIF FLEXIBLE GERMANY","GREIF","contains"
"GREIF FLEXIBLE IRELAND LTD","GREIF","contains"
"Greif Flexible Products & Services","GREIF","contains"
"Greif Flexible Products & Services CHINA","GREIF","contains"
"Greif Flexible Products & Services,","GREIF","contains"
"Greif Flexible Products & Services, Brasil","GREIF","contains"
"Greif Flexible Products & Services, CHINA","GREIF","contains"
"Greif Flexible Products & Services, Germany","GREIF","contains"
"Greif Flexible Products & Services, Italy","GREIF","contains"
"Greif Flexible Products & Services, Spain","GREIF","contains"
"Greif Flexible Products & Services, USA","GREIF","contains"
"Greif Flexible Products & Services, VIETNAM","GREIF","contains"
"GREIF FLEXIBLE TURKEY","GREIF","contains"
"GREIF FLEXIBLES  FRANCE","GREIF","contains"
"Greif Flexibles Benelux","GREIF","contains"
"GREIF FLEXIBLES BENELUX B.V","GREIF","contains"
"GREIF FLEXIBLES BENELUX BV","GREIF","contains"
"Greif Flexibles brasil.","GREIF","contains"
"Greif Flexibles Chile","GREIF","contains"
"Greif Flexibles china","GREIF","contains"
"GREIF FLEXIBLES FRANCE","GREIF","contains"
"Greif Flexibles France Benelux bv","GREIF","contains"
"Greif Flexibles France Italian Branch","GREIF","contains"
"Greif Flexibles France Sarl","GREIF","contains"
"GREIF FLEXIBLES GERMANY GMBH & CO.KG","GREIF","contains"
"Greif Flexibles Iberia Sa","GREIF","contains"
"GREIF FLEXIBLES IBERIA, S.A.","GREIF","contains"
"GREIF FLEXIBLES IRELAND","GREIF","contains"
"Greif Flexibles Ireland Ltd","GREIF","contains"
"GREIF FLEXIBLES IRELAND LTD.","GREIF","contains"
"Greif Flexibles Spain","GREIF","contains"
"Greif Flexibles Uk Ltd.","GREIF","contains"
"GREIF FLEXIBLES USA INC","GREIF","contains"
"greif iberia","GREIF","contains"
"Greif Mexico","GREIF","contains"
"Greif Prtugal","GREIF","contains"
"GREIF U.S.A","GREIF","contains"
"GREIF U.S.A.","GREIF","contains"
"Flexi","Greif Flexible Sweden AB","contains"
"GRIEF FLEXIBLES IBERIA","Grief","contains"
"GRIEF FPS","Grief","contains"
"H Polesy","H Polesy & Co Pty LTd.","contains"
"H Polesy","H Polesy & Co Pty LTd.","contains"
"H POLESY & CO PTY LTD","H Polesy & Co Pty LTd.","contains"
"Commercial bag","Hartley Commercial Bags","contains"
"HELLAGRO","HELLAgro S.A.","contains"
"Henry W. Peabody & Co. Inc","Henry W. Peabody","contains"
"Henry W. Peabody & Co., Inc.","Henry W. Peabody","contains"
"Indorama","INDORAMA VENTURES","contains"
"AUSTRALIA","Industrial Bags, Australia","contains"
"TRIAL","Industrial Bags, Australia","contains"
"INTEGRATED RECYCLING INDUSTRIES PHLS.INC","Integrated Recycling Industries","contains"
"INTERJUTE BV","Interjute","contains"
"Jtl Packaging Ltd. T/A Interpac","Interpac","contains"
"INTERPOLYMER","Interpolymer Inc.","contains"
"IOL CHEMICALS","IOL CHEMICALS AND PHARMACEUTICALS LTD.","contains"
"JMJ Bulk Packaging Ltd.","JMJ BULK PACKAGING","contains"
"Jose","Jose M. Camargo","contains"
"BAG CORP","Jumbo Bag Corppration","contains"
"JUMBO BAG","Jumbo Bag Corppration","contains"
"Jumbo Bag","Jumbo Bag Corppration","contains"
"JUMBO SACK CORP.","jumbo sack","contains"
"Jumbo Sack Corporation","jumbo sack","contains"
"JUTA","JUTA AS","contains"
"IOL","Jviolas Portugal","contains"
"JYOTI","JYOTI INTERNATIONAL","contains"
"KAM GROUP, INC","KAM GROUP","contains"
"KAM GROUP, INC.","KAM GROUP","contains"
"KAM GROUP,INC","KAM GROUP","contains"
"Kama","KAMA INT","contains"
"Karl Weiterer Sack- und Planenfabrik GmbH","Karl Weiterer","contains"
"APC","KEMAPCO","contains"
"KM OBALY","KM OBALY s.r.o.","contains"
"Korea","Korea Trade Agency","contains"
"KUKU","KUKU International Packaging","contains"
"KUKU INTERNATIONAL","KUKU International Packaging","contains"
"KUKU INTERNATIONAL PACKAGING Srl","KUKU International Packaging","contains"
"KUTCH BRINE","Kutch Brine Chem Industries","contains"
"LANEX SP ZOO","lanex","contains"
"LANGSTON COMPANIES","LANGSTON COMPANIES INC.","contains"
"LANGSTON COMPANIES","LANGSTON COMPANIES INC.","contains"
"Lasheen Group","Lasheen","contains"
"Lasheen.com","Lasheen","contains"
"LAXMI MINERAL","LAXMI MINERALS","contains"
"LBK Packaging UK","LBK Packaging","contains"
"LC Packaging France Sas","LC Packaging France","contains"
"LC PACKAGING","LC Packaging Netherland","contains"
"LC PACKAGING NETHERLANDS BV","LC Packaging Netherland","contains"
"LC Packaging Netherlands BvV","LC Packaging Netherland","contains"
"LC PACKGING HUNGARY","LC Packging","contains"
"Lean","Lean Packaging","contains"
"Lean Packaging LLC","Lean Packaging","contains"
"LINCON POLYMERS PVT.LTD.","Lincon Polymers","contains"
"Mineracao Belocal Ltda","local","contains"
"Louis Block","Louis Blockx","contains"
"Louis Blockx nv","Louis Blockx","contains"
"PEDRO MACCIO Y CIA,S.A","MACCIO","contains"
"GLOBAL PACK","MADCAP GLOBAL PACKAGING","contains"
"Admin Manekgroup","MANEKGROUP","contains"
"MANYAN INC.","MANYAN","contains"
"Material Motion FIBC Specification","Material Motion","contains"
"Material Motion, Inc","Material Motion","contains"
"Material Motion, Inc.","Material Motion","contains"
"MATERIAL MOTION INC.","Material Motion Inc","contains"
"Mecasac","MECASACXXI","contains"
"MIDWESTERN BAG","Midwestern Bag & Supply","contains"
"Midwestern Bag & Supply, LLC","Midwestern Bag & Supply","contains"
"MININI IMBALLAGGI SRL","Minini","contains"
"MININI SPA","Minini","contains"
"AG","MTF Bigbag","contains"
"AMC","Namco corp Ltd.","contains"
"amco","Namco corp Ltd.","contains"
"NEBIG","NEBIG VERPAKKINGEN BV","contains"
"ETG","Netgate","contains"
"CUSTOMER","NEW CUSTOMER","contains"
"NEW CUST","NEW CUSTOMER","contains"
"New customer UAE","NEW CUSTOMER","contains"
"NNZ BV.","NNZ bv","contains"
"NNZ Denmark ApS","NNZ Denmark","contains"
"NNZ GERMANY","NNZ GERMANY","exact"
"Poland","NNZ POLAND","contains"
"NNZ","NNZ USA","contains"
"Brazil","Nordeste Brazil","contains"
"npp","NPP Group Ltd","contains"
"NPP Group Ltd, Ireland","NPP Group Ltd","contains"
"ACTIONWARE INDIA PVT. LTD.","NW","contains"
"THRACE NONWOVENS & GEOSYNTHETICS SA","NW","contains"
"OCCL Limited","OCCL","contains"
"OLAM","OLAM GRAINS","contains"
"OLIVA GARDEN","Oliva Garden SA","contains"
"AGR","OM AGRO INDUSTRIES","contains"
"Agro industries","OM AGRO INDUSTRIES","contains"
"Lorenz Snacks India Private Limited","Oren","contains"
"Lorenz Snacks India Private Limited.","Oren","contains"
"LORENZATI","Oren","contains"
"LORENZATI PUETSCH","Oren","contains"
"LORENZATI RUETSCH","Oren","contains"
"Lorenzati, Ruetsch y Cia SA","Oren","contains"
"Norengros Kjosavik","Oren","contains"
"Norengros Kjosavik As","Oren","contains"
"GI","Origin8rs Global Inc","contains"
"SW","Oswal Extrusion","contains"
"OSWAL","Oswal Portugal","contains"
"Packaging Solution Inc.","PACKAGING SOLUTION","contains"
"Western Packaging Solution","PACKAGING SOLUTION","contains"
"Western Packaging Solutions","PACKAGING SOLUTION","contains"
"PACKMAK","PACKMAK LTD.","contains"
"Packmak Ltd","PACKMAK LTD.","contains"
"Passos & Oliveira Ltd","PASSOS & OLIVEIRA","contains"
"PEMA","PEMA Verpackung","contains"
"Big Bags","PGS Big Bags","contains"
"PH","Phoenix","contains"
"RAM","PIRAMAL ENTERPRISES LTD","contains"
"PITARCH","PITARCH Argentina","contains"
"PLAST ECO SARL","PLAST ECO","contains"
"H.POLESY","Polesy","contains"
"H.POLESY &  CO PTY LTD","Polesy","contains"
"HPC POLESY","Polesy","contains"
"Polesy ltd","Polesy","contains"
"Polesy Packaging","Polesy","contains"
"Polypak","Polypak.co.uk","contains"
"Dugar Polytex Pvt. Ltd.","polytex","contains"
"POLYTEX PLASTICS CO.,LTD","polytex","contains"
"POLYTEX PLASTICS CO.LTD(Cargill Korea).","polytex","contains"
"POLYTEX PLASTICS","POLYTEX PLASTICS CO LTD","contains"
"Amplitude Portugal","Portugal","contains"
"Prakash","Prakash ji","contains"
"PRIMA","PRIMA PAROL","contains"
"Procon","PROCON PACIFIC LLC","contains"
"Procon Pacific","PROCON PACIFIC LLC","contains"
"PRODEMAN S.A.","PRODEMAN","contains"
"PRODEMAN S-A","PRODEMAN","contains"
"QPAC","Qpac Packaging LLP","contains"
"Qpac Packaging LLP.","Qpac Packaging LLP","contains"
"RAFICON TRADE SRL","Raficon","contains"
"Ravitaillement International Inc","RAVITAILLEMENT INTERNATIONAL INC.","contains"
"BULK PACK","RDA BULK PACKAGING LTD","contains"
"Red Chilli Packaging","RED CHILLI","contains"
"ARGENTINA","Resein Argentina","contains"
"Rubamin","RUBAMIN.COM","contains"
"RUGO","Rugo Bags GMBH","contains"
"Rugo Bags","Rugo Bags GMBH","contains"
"SACCHERIA REGGIANA S.R.L.","Saccheria reggiana","contains"
"SACCHERIA REGGIANA SRL","Saccheria reggiana","contains"
"sacos durcal","Sacos Durcal S.A","contains"
"Sacos Durcal S.A","Sacos Durcal S.A","exact"
"SACOS DURCAL S.A.","Sacos Durcal S.A","contains"
"Martin","SACOS MARTINEZ","contains"
"SAFESACK","Safesack Sweden","contains"
